[2026-04-06T04:24:20.896Z] GET http://localhost:3000/template-base.css → 304 (2ms, ?B)
[2026-04-06T04:24:20.896Z] GET http://localhost:3000/dist/printform.js → 200 (15ms, 102958B)
[2026-04-06T04:24:20.896Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (4ms, ?B)
[2026-04-06T04:24:20.896Z] GET http://localhost:3000/template-base.js → 304 (13ms, ?B)
[2026-04-06T04:24:20.910Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (?ms, ?B)
[2026-04-06T04:24:21.386Z] GET http://localhost:3000/templates/11-bill-of-lading.html → 200 (6ms, 10920B)
[2026-04-06T04:24:21.398Z] GET http://localhost:3000/@vite/client → 304 (1ms, ?B)
[2026-04-06T04:24:21.398Z] GET http://localhost:3000/template-base.css → 304 (3ms, ?B)
[2026-04-06T04:24:21.398Z] GET http://localhost:3000/dist/printform.js → 200 (7ms, 102958B)
[2026-04-06T04:24:21.398Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:21.398Z] GET http://localhost:3000/template-base.js → 304 (4ms, ?B)
[2026-04-06T04:24:21.402Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (1ms, ?B)
[2026-04-06T04:24:21.817Z] GET http://localhost:3000/templates/12-proforma-invoice.html → 200 (8ms, 19650B)
[2026-04-06T04:24:21.836Z] GET http://localhost:3000/@vite/client → 304 (1ms, ?B)
[2026-04-06T04:24:21.836Z] GET http://localhost:3000/template-base.css → 304 (?ms, ?B)
[2026-04-06T04:24:21.836Z] GET http://localhost:3000/dist/printform.js → 200 (8ms, 102958B)
[2026-04-06T04:24:21.836Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (1ms, ?B)
[2026-04-06T04:24:21.836Z] GET http://localhost:3000/template-base.js → 304 (2ms, ?B)
[2026-04-06T04:24:21.837Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-06T04:24:22.339Z] GET http://localhost:3000/templates/13-purchase-requisition.html → 200 (9ms, 14458B)
[2026-04-06T04:24:22.356Z] GET http://localhost:3000/@vite/client → 304 (3ms, ?B)
[2026-04-06T04:24:22.356Z] GET http://localhost:3000/template-base.css → 304 (1ms, ?B)
[2026-04-06T04:24:22.356Z] GET http://localhost:3000/dist/printform.js → 200 (6ms, 102958B)
[2026-04-06T04:24:22.356Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:22.356Z] GET http://localhost:3000/template-base.js → 304 (3ms, ?B)
[2026-04-06T04:24:22.360Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-06T04:24:22.841Z] GET http://localhost:3000/templates/14-goods-received-note.html → 200 (7ms, 13030B)
[2026-04-06T04:24:22.855Z] GET http://localhost:3000/@vite/client → 304 (4ms, ?B)
[2026-04-06T04:24:22.856Z] GET http://localhost:3000/template-base.css → 304 (3ms, ?B)
[2026-04-06T04:24:22.856Z] GET http://localhost:3000/dist/printform.js → 200 (7ms, 102958B)
[2026-04-06T04:24:22.856Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (4ms, ?B)
[2026-04-06T04:24:22.856Z] GET http://localhost:3000/template-base.js → 304 (4ms, ?B)
[2026-04-06T04:24:22.860Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (3ms, ?B)
[2026-04-06T04:24:23.298Z] GET http://localhost:3000/templates/15-return-note.html → 200 (6ms, 13725B)
[2026-04-06T04:24:23.311Z] GET http://localhost:3000/@vite/client → 304 (8ms, ?B)
[2026-04-06T04:24:23.311Z] GET http://localhost:3000/template-base.css → 304 (1ms, ?B)
[2026-04-06T04:24:23.311Z] GET http://localhost:3000/dist/printform.js → 200 (11ms, 102958B)
[2026-04-06T04:24:23.311Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (10ms, ?B)
[2026-04-06T04:24:23.311Z] GET http://localhost:3000/template-base.js → 304 (10ms, ?B)
[2026-04-06T04:24:23.323Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (13ms, ?B)
[2026-04-06T04:24:23.718Z] GET http://localhost:3000/templates/16-payment-voucher.html → 200 (14ms, 15135B)
[2026-04-06T04:24:23.734Z] GET http://localhost:3000/@vite/client → 304 (5ms, ?B)
[2026-04-06T04:24:23.734Z] GET http://localhost:3000/template-base.css → 304 (6ms, ?B)
[2026-04-06T04:24:23.734Z] GET http://localhost:3000/dist/printform.js → 200 (11ms, 102958B)
[2026-04-06T04:24:23.734Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (7ms, ?B)
[2026-04-06T04:24:23.734Z] GET http://localhost:3000/template-base.js → 304 (8ms, ?B)
[2026-04-06T04:24:23.740Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (3ms, ?B)
[2026-04-06T04:24:24.211Z] GET http://localhost:3000/templates/17-journal-voucher.html → 200 (1ms, 11546B)
[2026-04-06T04:24:24.214Z] GET http://localhost:3000/@vite/client → 304 (4ms, ?B)
[2026-04-06T04:24:24.215Z] GET http://localhost:3000/template-base.css → 304 (3ms, ?B)
[2026-04-06T04:24:24.215Z] GET http://localhost:3000/dist/printform.js → 200 (11ms, 102958B)
[2026-04-06T04:24:24.215Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (10ms, ?B)
[2026-04-06T04:24:24.215Z] GET http://localhost:3000/template-base.js → 304 (11ms, ?B)
[2026-04-06T04:24:24.219Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (7ms, ?B)
[2026-04-06T04:24:24.643Z] GET http://localhost:3000/templates/18-payroll-slip.html → 200 (6ms, 12909B)
[2026-04-06T04:24:24.656Z] GET http://localhost:3000/@vite/client → 304 (1ms, ?B)
[2026-04-06T04:24:24.656Z] GET http://localhost:3000/template-base.css → 304 (?ms, ?B)
[2026-04-06T04:24:24.656Z] GET http://localhost:3000/dist/printform.js → 200 (6ms, 102958B)
[2026-04-06T04:24:24.656Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (2ms, ?B)
[2026-04-06T04:24:24.656Z] GET http://localhost:3000/template-base.js → 304 (2ms, ?B)
[2026-04-06T04:24:24.659Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-06T04:24:25.122Z] GET http://localhost:3000/templates/19-leave-application.html → 200 (8ms, 12142B)
[2026-04-06T04:24:25.141Z] GET http://localhost:3000/@vite/client → 304 (4ms, ?B)
[2026-04-06T04:24:25.141Z] GET http://localhost:3000/template-base.css → 304 (1ms, ?B)
[2026-04-06T04:24:25.141Z] GET http://localhost:3000/dist/printform.js → 200 (9ms, 102958B)
[2026-04-06T04:24:25.141Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (2ms, ?B)
[2026-04-06T04:24:25.141Z] GET http://localhost:3000/template-base.js → 304 (4ms, ?B)
[2026-04-06T04:24:25.145Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (4ms, ?B)
[2026-04-06T04:24:25.654Z] GET http://localhost:3000/templates/20-expense-claim.html → 200 (6ms, 11017B)
[2026-04-06T04:24:25.667Z] GET http://localhost:3000/@vite/client → 304 (2ms, ?B)
[2026-04-06T04:24:25.667Z] GET http://localhost:3000/template-base.css → 304 (1ms, ?B)
[2026-04-06T04:24:25.667Z] GET http://localhost:3000/dist/printform.js → 200 (7ms, 102958B)
[2026-04-06T04:24:25.667Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:25.667Z] GET http://localhost:3000/template-base.js → 304 (3ms, ?B)
[2026-04-06T04:24:25.670Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-06T04:24:26.092Z] GET http://localhost:3000/templates/21-stock-transfer.html → 200 (6ms, 11358B)
[2026-04-06T04:24:26.106Z] GET http://localhost:3000/@vite/client → 304 (2ms, ?B)
[2026-04-06T04:24:26.106Z] GET http://localhost:3000/template-base.css → 304 (?ms, ?B)
[2026-04-06T04:24:26.106Z] GET http://localhost:3000/dist/printform.js → 200 (5ms, 102958B)
[2026-04-06T04:24:26.106Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:26.106Z] GET http://localhost:3000/template-base.js → 304 (3ms, ?B)
[2026-04-06T04:24:26.109Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-06T04:24:26.524Z] GET http://localhost:3000/templates/22-work-order.html → 200 (7ms, 14323B)
[2026-04-06T04:24:26.538Z] GET http://localhost:3000/@vite/client → 304 (2ms, ?B)
[2026-04-06T04:24:26.538Z] GET http://localhost:3000/template-base.css → 304 (3ms, ?B)
[2026-04-06T04:24:26.538Z] GET http://localhost:3000/dist/printform.js → 200 (7ms, 102958B)
[2026-04-06T04:24:26.539Z] GET http://localhost:3000/dist/html_to_vector_pdf.js → 304 (3ms, ?B)
[2026-04-06T04:24:26.539Z] GET http://localhost:3000/template-base.js → 304 (3ms, ?B)
[2026-04-06T04:24:26.543Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (1ms, ?B)
